timestamp,temperature,sunlight,wind_speed,demand,price,is_weekend,hour,month
2023-01-01 00:00:00,8.99,0.0,10.39,132.1,53.01,1,0,1
2023-01-01 01:00:00,7.89,0.0,11.05,179.8,55.24,1,1,1
2023-01-01 02:00:00,9.97,0.0,7.04,213.2,63.75,1,2,1
2023-01-01 03:00:00,12.51,0.0,8.47,208.6,91.61,1,3,1
2023-01-01 04:00:00,10.03,0.0,6.22,248.8,81.76,1,4,1
2023-01-01 05:00:00,11.24,0.0,4.1,251.7,82.6,1,5,1
2023-01-01 06:00:00,16.16,0.0,6.52,260.0,76.12,1,6,1
2023-01-01 07:00:00,15.83,0.191,6.92,261.5,79.53,1,7,1
2023-01-01 08:00:00,14.56,0.361,7.29,235.7,65.37,1,8,1
2023-01-01 09:00:00,17.62,0.595,6.08,235.3,68.3,1,9,1
2023-01-01 10:00:00,16.4,0.67,6.53,214.8,65.51,1,10,1
2023-01-01 11:00:00,16.9,0.839,7.98,195.9,55.11,1,11,1
2023-01-01 12:00:00,18.48,0.776,6.46,167.6,57.05,1,12,1
2023-01-01 13:00:00,14.0,0.907,9.09,173.1,46.19,1,13,1
2023-01-01 14:00:00,13.88,0.77,9.36,205.8,54.05,1,14,1
2023-01-01 15:00:00,15.41,0.573,12.76,223.8,59.91,1,15,1
2023-01-01 16:00:00,13.47,0.497,10.25,228.4,57.79,1,16,1
2023-01-01 17:00:00,14.92,0.203,8.49,262.4,74.6,1,17,1
2023-01-01 18:00:00,11.18,0.0,6.76,229.2,72.92,1,18,1
2023-01-01 19:00:00,8.88,0.0,8.59,238.0,72.75,1,19,1
2023-01-01 20:00:00,13.43,0.0,8.65,256.9,79.45,1,20,1
2023-01-01 21:00:00,9.01,0.0,6.97,233.7,68.38,1,21,1
2023-01-01 22:00:00,8.8,0.0,9.57,221.5,65.59,1,22,1
2023-01-01 23:00:00,5.32,0.0,5.2,169.8,67.68,1,23,1
2023-01-02 00:00:00,6.91,0.0,7.46,212.1,61.51,0,0,1
2023-01-02 01:00:00,8.39,0.0,9.06,207.4,70.36,0,1,1
2023-01-02 02:00:00,6.37,0.0,7.37,235.4,72.16,0,2,1
2023-01-02 03:00:00,10.22,0.0,7.53,259.2,79.42,0,3,1
2023-01-02 04:00:00,9.3,0.0,7.67,264.6,85.66,0,4,1
2023-01-02 05:00:00,11.12,0.0,6.28,278.5,82.87,0,5,1
2023-01-02 06:00:00,11.8,0.0,10.3,280.3,83.49,0,6,1
2023-01-02 07:00:00,18.0,0.182,5.91,279.5,82.51,0,7,1
2023-01-02 08:00:00,15.47,0.385,8.58,295.3,78.48,0,8,1
2023-01-02 09:00:00,14.42,0.507,8.78,265.5,70.01,0,9,1
2023-01-02 10:00:00,18.98,0.81,6.05,261.5,70.68,0,10,1
2023-01-02 11:00:00,15.39,0.742,8.09,236.2,59.25,0,11,1
2023-01-02 12:00:00,18.42,0.994,6.13,218.5,72.09,0,12,1
2023-01-02 13:00:00,13.91,0.772,10.73,233.0,59.1,0,13,1
2023-01-02 14:00:00,14.68,0.744,5.67,247.4,66.5,0,14,1
2023-01-02 15:00:00,16.93,0.634,6.64,293.2,68.53,0,15,1
2023-01-02 16:00:00,16.98,0.371,5.5,296.2,81.88,0,16,1
2023-01-02 17:00:00,14.64,0.192,5.23,289.5,78.63,0,17,1
2023-01-02 18:00:00,12.77,0.0,11.13,282.4,83.53,0,18,1
2023-01-02 19:00:00,11.11,0.0,9.03,282.1,74.84,0,19,1
2023-01-02 20:00:00,7.54,0.0,8.23,276.9,88.5,0,20,1
2023-01-02 21:00:00,8.03,0.0,6.64,281.1,81.48,0,21,1
2023-01-02 22:00:00,7.75,0.0,9.76,221.0,66.23,0,22,1
2023-01-02 23:00:00,10.29,0.0,6.3,236.0,74.39,0,23,1
2023-01-03 00:00:00,8.69,0.0,9.48,219.9,92.16,0,0,1
2023-01-03 01:00:00,4.65,0.0,6.15,195.4,90.46,0,1,1
2023-01-03 02:00:00,9.33,0.0,6.61,241.3,74.91,0,2,1
2023-01-03 03:00:00,8.7,0.0,9.41,243.7,68.5,0,3,1
2023-01-03 04:00:00,9.15,0.0,9.62,279.5,75.81,0,4,1
2023-01-03 05:00:00,12.94,0.0,9.09,281.3,83.47,0,5,1
2023-01-03 06:00:00,15.07,0.0,5.8,290.7,90.86,0,6,1
2023-01-03 07:00:00,16.16,0.2,7.0,285.4,86.24,0,7,1
2023-01-03 08:00:00,13.83,0.451,8.21,290.8,77.46,0,8,1
2023-01-03 09:00:00,15.92,0.594,6.2,273.9,77.0,0,9,1
2023-01-03 10:00:00,18.0,0.85,10.64,260.5,71.07,0,10,1
2023-01-03 11:00:00,19.79,0.905,3.09,242.8,69.89,0,11,1
2023-01-03 12:00:00,17.05,0.854,6.34,224.2,63.36,0,12,1
2023-01-03 13:00:00,17.47,0.941,6.88,233.0,56.19,0,13,1
2023-01-03 14:00:00,15.12,0.647,2.21,278.2,79.47,0,14,1
2023-01-03 15:00:00,14.15,0.555,5.1,249.3,71.59,0,15,1
2023-01-03 16:00:00,17.13,0.358,9.15,259.1,75.48,0,16,1
2023-01-03 17:00:00,17.01,0.205,7.96,265.7,82.7,0,17,1
2023-01-03 18:00:00,12.86,0.0,11.04,258.1,78.16,0,18,1
2023-01-03 19:00:00,13.72,0.0,10.99,298.0,103.74,0,19,1
2023-01-03 20:00:00,11.23,0.0,8.76,284.4,78.41,0,20,1
2023-01-03 21:00:00,8.18,0.0,8.52,277.0,79.57,0,21,1
2023-01-03 22:00:00,9.4,0.0,8.03,228.3,73.51,0,22,1
2023-01-03 23:00:00,11.25,0.0,2.59,238.8,80.04,0,23,1
2023-01-04 00:00:00,7.94,0.0,5.06,202.8,70.82,0,0,1
2023-01-04 01:00:00,11.32,0.0,8.05,230.2,77.31,0,1,1
2023-01-04 02:00:00,3.45,0.0,9.08,244.6,76.81,0,2,1
2023-01-04 03:00:00,11.12,0.0,8.42,251.9,76.81,0,3,1
2023-01-04 04:00:00,10.69,0.0,6.06,314.1,86.46,0,4,1
2023-01-04 05:00:00,11.12,0.0,9.72,303.9,87.02,0,5,1
2023-01-04 06:00:00,13.2,0.0,10.81,281.8,90.23,0,6,1
2023-01-04 07:00:00,10.33,0.207,9.72,266.4,76.1,0,7,1
2023-01-04 08:00:00,15.08,0.457,9.82,280.6,72.78,0,8,1
2023-01-04 09:00:00,17.27,0.571,6.73,275.2,75.87,0,9,1
2023-01-04 10:00:00,20.3,0.708,10.0,276.4,72.27,0,10,1
2023-01-04 11:00:00,16.81,0.921,8.14,218.4,58.41,0,11,1
2023-01-04 12:00:00,16.4,0.938,8.87,218.9,60.72,0,12,1
2023-01-04 13:00:00,16.84,0.786,8.58,213.0,58.78,0,13,1
2023-01-04 14:00:00,19.18,0.833,7.6,265.3,72.39,0,14,1
2023-01-04 15:00:00,17.21,0.651,6.13,270.8,72.84,0,15,1
2023-01-04 16:00:00,14.46,0.375,7.68,310.0,88.19,0,16,1
2023-01-04 17:00:00,15.34,0.233,9.82,267.1,80.47,0,17,1
2023-01-04 18:00:00,13.21,0.0,6.96,310.4,92.84,0,18,1
2023-01-04 19:00:00,13.66,0.0,9.63,262.2,81.83,0,19,1
2023-01-04 20:00:00,9.11,0.0,9.32,253.0,85.32,0,20,1
2023-01-04 21:00:00,8.83,0.0,7.25,234.6,78.53,0,21,1
2023-01-04 22:00:00,7.9,0.0,10.62,245.6,70.14,0,22,1
2023-01-04 23:00:00,5.26,0.0,7.13,201.0,68.34,0,23,1
